Load #,Company,Amount Paid,Date Paid
10432640195,Ready,$85.00,4/1/2025
EF-67522,Expedited,$375.00,
127923,Carvana,$110.00,
EF-67522D,Expedited,$300.00,
20864382,CarsArrive,$160.00,
128247,Carvana,$132.00,
403954,Corsia Logistics,$300.00,
83555398,United,$110.00,
128646,Carvana,$120.00,
83594329,United,$312.02,
83594964,United,$375.00,
EF-67783D,Expedited,$125.00,
20885550,CarsArrive,$180.00,
7028703,A&M Automall,$150.00,
128918,Carvana,$80.00,
83642707,United,$600.00,
83646427,United,$600.00,
83642708,United,$600.00,
83656668,United,$100.00,
21701437,We Will Transport It,$300.00,
31436-06018,Anew Transport,$150.00,
20902003,CarsArrive,$105.00,
83672587,United,$80.00,
83689069,United,$200.00,
83689071,United,$200.00,
83317733,United,$125.00,
83704513,United,$80.00,
83718835,United,$225.00,
7131403,American Lenders,$250.00,
EF-69274,Expedited,$375.00,
130438,Carvana,$120.00,
129816,Carvana,$132.00,
LONGHORN,Empire RV & Marine,$400.00,
20401105,Beeline,$1900.00,
20393114,Beeline,$1200.00,
20564708,LynJones,$800.00,
COPART,Green Country,$400.00,??
30420617LT,LTS,$400.00,
20709406,Monarch,$1000.00,
DRV,Empire RV & Marine,$1500.00,
5450315,Movewheels,$1950.00,
35661424 / 6263 Gooseneck Camper,Nationwide United,$3000.00,
2019 Forest 5th Wheel,CNC Motors,$400.00,
21167508,We Will Transport It,$320.00,
Jayco,Empire RV & Marine,$1800.00,
326062,South Bay,$2150.00,
21188724,Simple Car Shipping,$1050.00,
PCRV-004257,One Call,$400.00,10.00
PCRV-781153,One Call,$400.00,10.00
PCRV-106299,One Call,$400.00,10.00
10427292525,Ready,$182.00,4/1/2025
83268903,United,$255.00,1.75
20802049,CarsArrive,$170.00,
20803608,CarsArrive,$150.00,
